5.324374437332153320e-01,3.859417736530303955e-01,3.601885735988616943e-01
5.981574952602386475e-02,4.935782775282859802e-02,5.775561183691024780e-02
1.917559057474136353e-01,1.138772964477539062e-01,9.603118896484375000e-02
4.491131007671356201e-02,3.227540478110313416e-02,3.147726505994796753e-02
3.568221330642700195e-01,2.671006917953491211e-01,2.518393695354461670e-01
7.631872594356536865e-02,6.626313924789428711e-02,6.610974669456481934e-02
9.211859852075576782e-02,7.164045423269271851e-02,8.031056076288223267e-02
2.531933784484863281e-01,1.606867015361785889e-01,1.464141607284545898e-01
1.967148929834365845e-01,1.491476893424987793e-01,1.402454823255538940e-01
3.051382303237915039e-01,1.665558218955993652e-01,1.458625048398971558e-01
2.206160426139831543e-01,1.253108233213424683e-01,1.093353107571601868e-01
5.607254430651664734e-02,4.683939740061759949e-02,4.974295943975448608e-02
7.833170145750045776e-02,6.157614663243293762e-02,5.862174928188323975e-02
6.627776026725769043e-01,4.355381429195404053e-01,3.517491817474365234e-01
1.886177957057952881e-01,1.214949190616607666e-01,1.215786188840866089e-01
3.857522085309028625e-02,3.129197284579277039e-02,2.925230190157890320e-02
2.788760885596275330e-02,2.324918657541275024e-02,2.263329736888408661e-02
5.229611396789550781e-01,3.005731999874114990e-01,2.792660593986511230e-01
2.432150393724441528e-01,1.844765394926071167e-01,1.581650227308273315e-01
1.229242160916328430e-01,9.290087968111038208e-02,9.540033340454101562e-02
1.257074903696775436e-02,1.091240160167217255e-02,1.074732840061187744e-02
6.209623068571090698e-02,6.204742193222045898e-02,7.151125371456146240e-02
4.054040610790252686e-01,2.441598176956176758e-01,1.965552419424057007e-01
1.481055915355682373e-01,1.360662579536437988e-01,1.389341801404953003e-01
